,raw_median_log2,norm_median_log2,n_missing_pre_impute,mean_final,sd_final
PSME1_KO_1_original_intensity,26.67087664018456,26.561278906740462,469,26.485180926751383,2.043111862013116
PSME1_KO_2_original_intensity,26.56844690568713,26.561278906740462,386,26.558100825890676,2.0310653132451173
PSME1_KO_3_original_intensity,26.553224875016248,26.561278906740462,403,26.5482846653251,2.048132393686107
Scram_1_original_intensity,26.554110907793792,26.561278906740462,462,26.521483037872386,2.087189457241215
Scram_2_original_intensity,26.550952232694396,26.561278906740462,407,26.53181400507617,2.0839771764535366
Scram_3_original_intensity,26.607243384925255,26.561278906740462,451,26.501538936924796,2.06931907723309
